Date,Time,Type,Sport,Event,Market,Odds,Stake,Status,Profit,Legs_Data
2026-08-16,16:22,Μονό,🎾 Τένις,Ουγκό Ουμπέρ - Μάικλ Τζενγκ,Ουγκό Ουμπέρ - Under 4.5 Συνολικά Διπλά Λάθη,2.0,0.3,🟡 Cash Out,0.1099999999999999,
2026-08-16,23:09,Μονό,🏀 Μπάσκετ,Ατλάντα Ντριμ - Ιντιάνα Φίβερ,Allisha Gray - Over 2.5 Συνολικές Ασίστ,1.92,0.3,🟢 Κερδισμένο,0.2759999999999999,
2026-08-16,23:09,Bet Builder,🏀 Μπάσκετ,Ατλάντα Ντριμ - Ιντιάνα Φίβερ,🟢 Rhyne Howard - Over 3.5 Συνολικές Ασίστ (1.64) | 🔴 DiJonai Carrington 10+ Πόντοι Παίχτη (1.32),2.16,0.3,🔴 Χαμένο,-0.3,"[{""event"": ""\u0391\u03c4\u03bb\u03ac\u03bd\u03c4\u03b1 \u039d\u03c4\u03c1\u03b9\u03bc - \u0399\u03bd\u03c4\u03b9\u03ac\u03bd\u03b1 \u03a6\u03af\u03b2\u03b5\u03c1"", ""market"": ""Rhyne Howard - Over 3.5 \u03a3\u03c5\u03bd\u03bf\u03bb\u03b9\u03ba\u03ad\u03c2 \u0391\u03c3\u03af\u03c3\u03c4"", ""odds"": 1.64, ""status"": ""\ud83d\udfe2 \u039a\u03b5\u03c1\u03b4\u03b9\u03c3\u03bc\u03ad\u03bd\u03bf""}, {""event"": ""\u03a3\u03b9\u03ac\u03c4\u03bb \u03a3\u03c4\u03cc\u03c1\u03bc - \u03a3\u03b9\u03ba\u03ac\u03b3\u03bf \u03a3\u03ba\u03ac\u03b9"", ""market"": ""DiJonai Carrington 10+ \u03a0\u03cc\u03bd\u03c4\u03bf\u03b9 \u03a0\u03b1\u03af\u03c7\u03c4\u03b7"", ""odds"": 1.32, ""status"": ""\ud83d\udd34 \u03a7\u03b1\u03bc\u03ad\u03bd\u03bf""}]"
2026-08-16,23:11,Bet Builder,🏀 Μπάσκετ,Ατλάντα Ντριμ - Ιντιάνα Φίβερ,🟢 Allisha Gray 3+ Ασίστ Παίχτη (1.60) | 🟢 Angel Reese 3+ Ασίστ Παίχτη (1.60) | 🟢 Rhyne Howard 3+ Ασίστ Παίχτη (1.80),4.61,0.15,🟢 Κερδισμένο,0.5415,"[{""event"": ""\u0391\u03c4\u03bb\u03ac\u03bd\u03c4\u03b1 \u039d\u03c4\u03c1\u03b9\u03bc - \u0399\u03bd\u03c4\u03b9\u03ac\u03bd\u03b1 \u03a6\u03af\u03b2\u03b5\u03c1"", ""market"": ""Allisha Gray 3+ \u0391\u03c3\u03af\u03c3\u03c4 \u03a0\u03b1\u03af\u03c7\u03c4\u03b7"", ""odds"": 1.6, ""status"": ""\ud83d\udfe2 \u039a\u03b5\u03c1\u03b4\u03b9\u03c3\u03bc\u03ad\u03bd\u03bf""}, {""event"": ""\u0391\u03c4\u03bb\u03ac\u03bd\u03c4\u03b1 \u039d\u03c4\u03c1\u03b9\u03bc - \u0399\u03bd\u03c4\u03b9\u03ac\u03bd\u03b1 \u03a6\u03af\u03b2\u03b5\u03c1"", ""market"": ""Angel Reese 3+ \u0391\u03c3\u03af\u03c3\u03c4 \u03a0\u03b1\u03af\u03c7\u03c4\u03b7"", ""odds"": 1.6, ""status"": ""\ud83d\udfe2 \u039a\u03b5\u03c1\u03b4\u03b9\u03c3\u03bc\u03ad\u03bd\u03bf""}, {""event"": ""\u0391\u03c4\u03bb\u03ac\u03bd\u03c4\u03b1 \u039d\u03c4\u03c1\u03b9\u03bc - \u0399\u03bd\u03c4\u03b9\u03ac\u03bd\u03b1 \u03a6\u03af\u03b2\u03b5\u03c1"", ""market"": ""Rhyne Howard 3+ \u0391\u03c3\u03af\u03c3\u03c4 \u03a0\u03b1\u03af\u03c7\u03c4\u03b7"", ""odds"": 1.8, ""status"": ""\ud83d\udfe2 \u039a\u03b5\u03c1\u03b4\u03b9\u03c3\u03bc\u03ad\u03bd\u03bf""}]"
2026-08-17,13:05,Μονό,🎾 Τένις,Σοράνα Κιρστέα - Άννα Καλίνσκαγια,Άννα Καλίνσκαγια - Over 4.5 Συνολικά Διπλά Λάθη,1.7,0.3,🟢 Κερδισμένο,0.21,
2026-08-17,13:06,Μονό,🎾 Τένις,Σοράνα Κιρστέα - Άννα Καλίνσκαγια,Σοράνα Κιρστέα - Under 4.5 Συνολικά Διπλά Λάθη,1.95,0.3,🔴 Χαμένο,-0.3,
2026-08-17,15:09,Μονό,🏀 Μπάσκετ,Γκόλντεν Στέιτ Βαλκίρις - Ντάλας Γουίνγκς,Cecilia Zandalasini - Over 2.5 Συνολικά Ριμπάουντ,1.9,0.3,🔴 Χαμένο,-0.3,
2026-08-17,22:37,Μονό,🏀 Μπάσκετ,Γκόλντεν Στέιτ Βαλκίρις - Ντάλας Γουίνγκς,Odyssey Sims - Under 10.5 Συνολικοί Πόντοι,1.74,0.3,🟢 Κερδισμένο,0.222,
2026-08-18,00:26,Μονό,🎾 Τένις,Αρίνα Σαμπαλένκα - Ξινιού Γουάνγκ,Ξινιού Γουάνγκ - Under 5.5 Συνολικά Διπλά Λάθη,1.78,0.3,⚪ Εκκρεμές,0.0,
2026-08-18,00:28,Bet Builder,🏀 Μπάσκετ,Bet Builder: Γκόλντεν Στέιτ Βαλκίρις - Ντάλας Γουίνγκς,🔴 Kayla Thornton 5+ Ριμπάουντ Παίχτη (1.35) | 🟢 Gabby Williams 10+ Πόντοι Παίχτη (1.43),1.93,0.3,🔴 Χαμένο,-0.3,"[{""event"": ""\u0393\u03ba\u03cc\u03bb\u03bd\u03c4\u03b5\u03bd \u03a3\u03c4\u03ad\u03b9\u03c4 \u0392\u03b1\u03bb\u03ba\u03af\u03c1\u03b9\u03c2 - \u039d\u03c4\u03ac\u03bb\u03b1\u03c2 \u0393\u03bf\u03c5\u03af\u03bd\u03b3\u03ba\u03c2"", ""market"": ""Kayla Thornton 5+ \u03a1\u03b9\u03bc\u03c0\u03ac\u03bf\u03c5\u03bd\u03c4 \u03a0\u03b1\u03af\u03c7\u03c4\u03b7"", ""odds"": 1.35, ""status"": ""\ud83d\udd34 \u03a7\u03b1\u03bc\u03ad\u03bd\u03bf""}, {""event"": ""\u0393\u03ba\u03cc\u03bb\u03bd\u03c4\u03b5\u03bd \u03a3\u03c4\u03ad\u03b9\u03c4 \u0392\u03b1\u03bb\u03ba\u03af\u03c1\u03b9\u03c2 - \u039d\u03c4\u03ac\u03bb\u03b1\u03c2 \u0393\u03bf\u03c5\u03af\u03bd\u03b3\u03ba\u03c2"", ""market"": ""Gabby Williams 10+ \u03a0\u03cc\u03bd\u03c4\u03bf\u03b9 \u03a0\u03b1\u03af\u03c7\u03c4\u03b7"", ""odds"": 1.43, ""status"": ""\ud83d\udfe2 \u039a\u03b5\u03c1\u03b4\u03b9\u03c3\u03bc\u03ad\u03bd\u03bf""}]"
